trackName,artistName,genre,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
is your bedroom ceiling bored? (feat. Cavetown),Sody,alt z,1037545,0.616,0.45,6,-9.832,1,0.114,0.529,1.58e-06,0.0926,0.195,123.851,207510,4
is your bedroom ceiling bored? (feat. Rxseboy) - Fudasca Remix,Sody,alt z,804867,0.521,0.347,6,-12.716,1,0.164,0.463,0,0.091,0.198,123.996,191119,4
just a boy,Alaina Castillo,alt z,2745205,0.51,0.303,7,-5.344,1,0.0562,0.892,0,0.127,0.51,198.149,185682,3
leave,gnash,alt z,695156,0.506,0.381,1,-10.953,0,0.266,0.427,0.00238,0.139,0.0389,92.11,175229,1
lie to me,Tate McRae,alt z,1386569,0.642,0.392,4,-7.846,0,0.0372,0.0151,0,0.352,0.0479,138.065,177440,4
minor,Gracie Abrams,alt z,481518,0.705,0.281,2,-7.991,1,0.0863,0.856,0,0.117,0.211,84.882,160507,4
never knew a heart could break itself,Zach Hood,alt z,2869085,0.579,0.454,9,-7.264,1,0.0427,0.465,0,0.0997,0.461,78.949,155223,4
not ur friend,Jeremy Zucker,alt z,1785833,0.778,0.313,4,-9.288,1,0.421,0.301,0,0.667,0.707,68.936,174520,4
nothing else i could do,ella jane,alt z,1256812,0.788,0.545,3,-7.647,1,0.0487,0.475,0.0138,0.134,0.583,119.948,170000,4
ocean waves,Alaina Castillo,alt z,1196295,0.458,0.521,8,-6.348,0,0.0943,0.417,0,0.368,0.449,89.827,220236,4
porcelain,mxmtoon,alt z,17980,0.569,0.108,9,-15.855,1,0.035,0.883,0,0.112,0.181,110.421,271915,4
r u ok,Tate McRae,alt z,2793375,0.666,0.593,2,-5.905,1,0.0373,0.318,0,0.414,0.329,140.013,185850,4
rubberband,Tate McRae,alt z,3584645,0.64,0.593,10,-6.068,1,0.0431,0.32,0,0.104,0.432,155.08,147713,4
rx,ROLE MODEL,alt z,1400742,0.448,0.119,4,-15.138,1,0.0403,0.736,0,0.145,0.333,140.591,200107,4
say it over (feat. Cautious Clay),Ruel,alt z,470947,0.438,0.315,2,-10.941,0,0.044,0.566,0,0.606,0.151,156.031,238500,4
slower,Tate McRae,alt z,4435273,0.589,0.364,1,-8.079,0,0.0419,0.595,0,0.334,0.21,104.991,187629,4
smiling when i die,Sasha Alex Sloan,alt z,3218959,0.753,0.41,0,-10.636,0,0.132,0.817,0.00219,0.104,0.23,92.999,206437,4
sometimes,Heather Sommer,alt z,4543454,0.679,0.525,9,-8.721,1,0.0594,0.0899,3.53e-05,0.09,0.333,106.871,163738,4
talk is overrated,Jeremy Zucker,alt z,189795,0.776,0.353,4,-8.317,0,0.0687,0.435,0,0.302,0.658,138.035,189800,4
that way - with Jeremy Zucker,Tate McRae,alt z,1376628,0.394,0.398,0,-10.202,1,0.219,0.573,0,0.313,0.361,78.438,174300,3
this is how i learn to say no,EMELINE,alt z,814196,0.378,0.587,10,-7.755,1,0.163,0.232,0,0.455,0.498,181.452,142966,3
this is how you fall in love,Jeremy Zucker,alt z,784377,0.441,0.202,7,-12.499,1,0.0381,0.732,2.6e-05,0.126,0.269,77.971,174587,4
tomorrow tonight,Loote,alt z,14625349,0.32,0.5,3,-7.979,1,0.0994,0.134,0,0.108,0.142,91.361,202600,4
too many feelings,Ruel,alt z,560418,0.754,0.706,5,-6.145,1,0.0923,0.237,3.46e-05,0.097,0.536,81.943,186935,4
up to something,Ruel,alt z,179307,0.691,0.465,3,-8.061,0,0.0502,0.0829,1.58e-06,0.126,0.291,96.02,179307,4
wannabe,renforshort,alt z,2898255,0.769,0.663,1,-5.649,0,0.0395,0.0943,1.12e-06,0.133,0.46,94.966,152470,4
watch you sleep.,girl in red,alt z,720900,0.456,0.221,2,-16.379,1,0.0307,0.932,0.00527,0.0963,0.374,132.997,180226,4
we fell in love in october,girl in red,alt z,184095,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,184154,4
we'll be fine,Luz,alt z,1749814,0.505,0.122,11,-12.599,1,0.0527,0.9,0,0.0893,0.372,102.607,296560,4
when was it over? (feat. Sam Hunt),Sasha Alex Sloan,alt z,2522692,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958,218093,4
working,Tate McRae,alt z,8255329,0.783,0.435,7,-7.78,1,0.0588,0.282,0,0.0833,0.512,106.974,210220,4
you broke me first,Tate McRae,alt z,2737001,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266,4
you heard me,Heather Sommer,alt z,6643044,0.665,0.582,6,-7.011,0,0.0324,0.163,0,0.108,0.344,137.027,178686,4
you should see me in a crown,Besomorph,alt z,2320,0.383,0.711,4,-4.125,0,0.0453,0.334,3.35e-06,0.225,0.196,153.95,179278,4
you were good to me,Jeremy Zucker,alt z,219146,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147,4
you were good to me - shallou remix,Jeremy Zucker,alt z,229124,0.358,0.435,2,-9.198,1,0.0717,0.173,0.00106,0.0986,0.336,155.908,229205,4
Blessed,Besomorph,alt z,200000,0.505,0.572,1,-9.444,0,0.135,0.0951,0,0.0958,0.073,120.151,200000,4
Boy In The Bubble,Alec Benjamin,alt z,1089885,0.817,0.578,11,-7.579,0,0.0824,0.224,0.00103,0.251,0.851,143.982,181705,4
Boys Who Kiss You In Their Car,Ber,alt z,137288,0.695,0.745,11,-9.968,0,0.0687,0.247,0.000118,0.102,0.664,135.88,164707,4
Break My Heart Again,FINNEAS,alt z,22532056,0.402,0.151,4,-14.228,0,0.04,0.907,0,0.0941,0.489,144.071,238013,4
CHICKEN TENDIES,Clinton Kane,alt z,1263557,0.57,0.689,7,-6.242,1,0.147,0.358,0,0.0819,0.568,100.087,196844,4
Caroline,Boy In Space,alt z,633847,0.604,0.636,1,-7.024,0,0.0362,0.0548,0,0.161,0.529,140.076,158571,3
Cellophane,Ella Vos,alt z,2532249,0.693,0.481,1,-9.169,1,0.0534,0.0884,0.000102,0.144,0.112,119.933,165000,4
Chasing Parties,Sasha Alex Sloan,alt z,188061,0.584,0.261,11,-12.317,1,0.0486,0.72,1.1e-06,0.126,0.504,180.149,162248,4
Coke & Mentos,salem ilese,alt z,640230,0.605,0.663,7,-5.396,1,0.168,0.671,0.0108,0.159,0.75,183.361,127826,4
Cold,Boy In Space,alt z,7065567,0.711,0.412,9,-6.827,1,0.0445,0.184,0,0.0546,0.186,130.013,203538,4
Come Here and Leave Me Alone,Alexander 23,alt z,3265475,0.691,0.388,1,-12.401,0,0.0537,0.767,0.00337,0.0996,0.304,117.001,186130,4
Constellations,Jade LeMac,alt z,1406633,0.58,0.658,1,-6.671,1,0.0389,0.219,0,0.0577,0.159,74.984,200322,4
Coping,Rosie Darling,alt z,1927704,0.432,0.444,6,-7.298,1,0.125,0.605,0,0.104,0.209,82.79,190267,4
Crazier Things,Chelsea Cutler,alt z,6201197,0.635,0.274,2,-13.53,1,0.033,0.813,0,0.162,0.316,93.025,264585,4
Cry with you,Jeremy Zucker,alt z,242368,0.516,0.323,2,-9.688,1,0.0716,0.489,4.82e-06,0.189,0.386,159.861,217040,3
Daisy,Ashnikko,alt z,1909546,0.834,0.663,8,-6.143,1,0.133,0.235,0,0.372,0.774,121.876,146523,4
Dance Alone,Boy In Space,alt z,20433,0.61,0.546,2,-7.822,1,0.0521,0.476,0,0.329,0.364,139.768,199606,4
Dance in the Dark,Au/Ra,alt z,842520,0.754,0.534,9,-8.424,0,0.123,0.0721,0.00615,0.218,0.809,149.146,178187,4
Dancing With Your Ghost,Sasha Alex Sloan,alt z,18038573,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,197732,4
Dandelions,Ruth B.,alt z,577333,0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,233720,3
Dandelions - slowed + reverb,Ruth B.,alt z,9441666,0.573,0.715,8,-3.293,0,0.0256,0.0444,0,0.0898,0.258,101.699,268717,3
Dangerous (feat. blackbear),DeathbyRomy,alt z,126442,0.43,0.626,9,-6.219,0,0.0491,0.0158,0,0.38,0.613,99.702,126479,4
Darkest Hour - from the Amazon Original Series PANIC,Tate McRae,alt z,952635,0.625,0.328,9,-10.603,0,0.0341,0.389,9.27e-05,0.109,0.0902,91.959,161252,4
Dazed & Confused,Ruel,alt z,2934777,0.688,0.5,2,-7.411,1,0.138,0.102,0,0.355,0.418,127.906,189608,3
Dead Dear (Deer),Ber,alt z,166480,0.781,0.396,11,-8.427,1,0.0467,0.52,2.67e-05,0.134,0.749,105.016,166480,4
Dead Girl! (Shake My Head),Au/Ra,alt z,56191,0.703,0.831,5,-5.651,0,0.0637,0.00189,0.118,0.207,0.29,132.001,194791,4
Demons,Alec Benjamin,alt z,3582444,0.708,0.494,5,-7.496,0,0.0365,0.697,0.000115,0.34,0.76,142.921,163172,4
Deniro,Alec Benjamin,alt z,423240,0.463,0.755,2,-5.04,1,0.0727,0.137,0,0.0745,0.649,79.488,141163,4
Devil Doesn’t Bargain,Alec Benjamin,alt z,488998,0.448,0.606,3,-4.565,1,0.0609,0.577,0,0.217,0.483,121.15,163613,4
Devil You Don't,CXLOE,alt z,1360064,0.602,0.694,2,-5.982,0,0.406,0.473,0,0.184,0.43,101.953,186360,4
Dinosaurs (S4E7),salem ilese,alt z,562806,0.409,0.338,4,-7.951,1,0.0432,0.731,0,0.25,0.273,184.043,144446,3
Dopamine Addict,Alec Benjamin,alt z,723340,0.721,0.772,10,-4.506,0,0.19,0.598,0.000204,0.19,0.483,76.928,144956,4
Downtown (2020),Allie X,alt z,1617789,0.575,0.881,6,-4.282,1,0.109,0.00307,5.97e-05,0.509,0.552,107.957,212226,4
Drugs,UPSAHL,alt z,47060,0.883,0.415,6,-8.571,0,0.174,0.35,0,0.063,0.318,76.986,155867,4
Dumb Love,Mimi Webb,alt z,708305,0.569,0.422,0,-5.856,1,0.0302,0.0296,0,0.0613,0.175,76.96,207068,4
EVIL,AViVA,alt z,1688636,0.634,0.645,9,-6.922,0,0.238,0.0632,0,0.28,0.385,159.926,195598,4
Emerald Eyes,Anson Seabra,alt z,1045205,0.477,0.0489,4,-17.039,1,0.0611,0.929,0,0.0686,0.356,200.082,239700,3
Emotion,Mia Rodriguez,alt z,213809,0.58,0.616,9,-6.297,1,0.0527,0.077,0.000552,0.134,0.392,170.138,213988,4
Empty,Olivia O'Brien,alt z,1936,0.785,0.528,9,-7.729,0,0.0665,0.0715,0,0.132,0.184,118.974,208720,4
Everybody Loves You,Charlotte Lawrence,alt z,409296,0.479,0.231,2,-10.278,1,0.0481,0.753,0,0.37,0.33,112.255,204648,1
Face To Face,Ruel,alt z,590184,0.711,0.634,9,-4.351,1,0.0668,0.139,0,0.103,0.356,90.04,203747,4
Faking It,Sasha Alex Sloan,alt z,751314,0.641,0.37,1,-8.645,0,0.0565,0.32,0,0.206,0.242,81.043,167353,4
Fall,Sasha Alex Sloan,alt z,196277,0.692,0.248,10,-11.304,0,0.0283,0.919,1.28e-05,0.102,0.437,100.111,166372,4
Falling,Besomorph,alt z,149350,0.469,0.777,8,-6.175,0,0.0742,0.0183,0,0.111,0.252,139.967,149571,4
Favorite What If,Ashley Kutcher,alt z,2052046,0.455,0.358,5,-7.309,1,0.0339,0.275,0,0.0822,0.254,90.675,172499,3
Feels Like,Gracie Abrams,alt z,1068237,0.617,0.483,11,-7.359,1,0.0458,0.702,0.000216,0.121,0.176,144.99,152318,4
Feels So Easy,Ber,alt z,4603089,0.607,0.418,6,-10.189,0,0.0659,0.747,5.63e-05,0.116,0.367,110.158,146307,4
First Place,bülow,alt z,471421,0.666,0.642,3,-6.385,1,0.0445,0.293,0,0.0873,0.427,165.076,153545,4
Forever Young,Boy In Space,alt z,1285176,0.556,0.221,7,-10.481,1,0.0314,0.573,0,0.0975,0.384,122.063,211681,4
Frankenstein,Claire Rosinkranz,alt z,3044468,0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,202249,4
Free Time,Ruel,alt z,218631,0.637,0.478,11,-5.783,0,0.03,0.101,0,0.103,0.201,99.989,218827,3
Fuck Up the Friendship,Leah Kate,alt z,1245802,0.744,0.736,1,-5.258,0,0.291,0.142,1.1e-05,0.11,0.77,103.993,172758,4
GOOD DIE YOUNG,Elley Duhé,alt z,1616552,0.499,0.532,8,-7.257,0,0.0406,0.588,0.0125,0.117,0.461,143.921,162104,4
GROWING UP IS _____,Ruel,alt z,19842013,0.674,0.719,0,-5.69,1,0.029,0.0012,0.000118,0.231,0.494,112.542,233587,4
Get Stüpid,bülow,alt z,4708478,0.843,0.797,11,-4.597,0,0.0419,0.202,0.000117,0.0822,0.613,109.973,172800,4
Ghost,Au/Ra,alt z,2643270,0.667,0.503,0,-8.217,0,0.0526,0.552,0,0.169,0.584,144.015,177630,4
Gold,Kiiara,alt z,225882,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,225882,5
Gotta Be A Reason,Alec Benjamin,alt z,420706,0.771,0.518,4,-7.582,0,0.0404,0.806,2.48e-05,0.104,0.277,79.997,210354,4
Hammers,Alec Benjamin,alt z,539878,0.665,0.685,7,-5.098,0,0.257,0.557,0.00145,0.107,0.731,176.047,180403,4
Hard Sometimes,Ruel,alt z,5220560,0.407,0.317,10,-7.895,1,0.0429,0.845,2.66e-06,0.139,0.216,81.899,269493,4
Hate Me If It Helps,Alexander 23,alt z,196452,0.529,0.434,2,-8.844,1,0.223,0.302,0,0.111,0.603,161.963,196452,4
Have We Met Before (with Eric Nam),Sarah Barrios,alt z,17595924,0.434,0.271,7,-10.302,1,0.0353,0.856,0,0.109,0.367,167.412,158175,4
Healing,FLETCHER,alt z,1905378,0.572,0.621,2,-7.298,1,0.0336,0.543,2.19e-06,0.124,0.35,159.989,187544,4
Heaven,FINNEAS,alt z,148230,0.526,0.321,2,-6.725,1,0.0426,0.154,0.000278,0.171,0.165,137.961,222664,4
Heavy,Rosie Darling,alt z,333134,0.72,0.397,10,-7.781,1,0.0423,0.392,1.03e-06,0.112,0.336,97.02,166587,4
Help (feat. Rence),Sarah Barrios,alt z,191304,0.592,0.545,5,-9.914,1,0.0852,0.198,0,0.172,0.188,137.764,191304,4
Hi-Lo,AJ Mitchell,alt z,16213,0.491,0.445,4,-8.067,1,0.0688,0.214,0,0.0684,0.124,79.521,177089,4
Hill I Will Die On,Alec Benjamin,alt z,503588,0.642,0.628,7,-5.933,1,0.0293,0.528,0.00191,0.0865,0.789,146.864,167944,4
Hindenburg Lover,Anson Seabra,alt z,302894,0.519,0.241,8,-13.076,1,0.119,0.891,0,0.323,0.208,99.947,302895,4
Hipocrite,Alec Benjamin,alt z,409909,0.808,0.764,7,-4.6,1,0.0667,0.148,0,0.125,0.773,109.95,136802,4
Home for the Summer,Sara Kays,alt z,1023027,0.682,0.529,4,-9.862,1,0.0469,0.782,0.000294,0.102,0.39,126.995,155272,4
Hoops,Julia Wolf,alt z,2545215,0.622,0.557,0,-9.184,1,0.0355,0.272,0,0.098,0.532,156.983,199372,4
House With No Mirrors,Sasha Alex Sloan,alt z,4920383,0.72,0.408,2,-11.725,1,0.0498,0.832,2.61e-06,0.0992,0.341,121.972,227613,4
Hurt Locker,FINNEAS,alt z,206339,0.566,0.462,8,-11.028,0,0.131,0.778,7.39e-05,0.0897,0.234,77.195,206339,4
I Blame The World,Sasha Alex Sloan,alt z,4484934,0.579,0.783,8,-6.4,1,0.0453,0.00979,0.244,0.116,0.69,165.057,197267,4
I Built A Friend (2020),Alec Benjamin,alt z,1435927,0.6,0.282,9,-8.284,1,0.0302,0.883,2.67e-06,0.163,0.424,100.035,176694,4
I Do,Astrid S,alt z,1100546,0.666,0.524,10,-9.404,1,0.0459,0.505,0,0.124,0.215,110.015,155822,4
I Don't Want You Back,AJ Mitchell,alt z,88064,0.613,0.347,5,-6.486,1,0.034,0.591,0,0.0959,0.25,109.764,224144,4
I GUESS I'M IN LOVE,Clinton Kane,alt z,4161070,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094,4
IDK You Yet,Alexander 23,alt z,1913446,0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997,184638,1
If By Chance - slowed + reverb,Ruth B.,alt z,223,0.204,0.166,6,-14.502,1,0.0324,0.81,2.87e-06,0.129,0.181,92.762,384770,4
If I Killed Someone For You,Alec Benjamin,alt z,370244,0.514,0.605,7,-5.363,1,0.0337,0.774,2.91e-06,0.121,0.409,120.894,185123,4
If We Have Each Other,Alec Benjamin,alt z,1089132,0.656,0.577,10,-5.566,0,0.0802,0.698,0,0.296,0.861,173.094,181522,4
If the World Was Ending (feat. Julia Michaels),JP Saxe,alt z,1671825,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,4
Intro,Sasha Alex Sloan,alt z,47324,0.589,0.102,8,-18.015,1,0.147,0.894,0,0.24,0.544,117.166,45587,5
Is It Just Me?,Sasha Alex Sloan,alt z,215040,0.682,0.363,2,-10.837,1,0.0261,0.699,3e-05,0.363,0.203,94.978,154275,4
Is It Just Me? (feat. Charlie Puth),Sasha Alex Sloan,alt z,5633626,0.682,0.363,2,-10.837,1,0.0261,0.699,3e-05,0.363,0.203,94.978,154275,4
It's Ok If You Forget Me,Astrid S,alt z,1859312,0.562,0.379,6,-7.625,1,0.231,0.526,0,0.151,0.258,171.848,204989,4
I’ll Still Have Me,Cyn,alt z,877068,0.604,0.277,2,-8.249,1,0.0286,0.915,1.82e-05,0.113,0.22,82.922,219268,4
Jesus in LA,Alec Benjamin,alt z,182669,0.787,0.558,0,-5.237,1,0.0414,0.664,0,0.347,0.706,94.049,171539,4
Joke's On You,Charlotte Lawrence,alt z,779651,0.476,0.652,2,-4.546,0,0.104,0.23,0,0.136,0.47,190.118,184659,3
Just Like You,Alec Benjamin,alt z,291839,0.747,0.482,0,-5.614,1,0.033,0.618,0,0.128,0.536,91.991,167642,4
KING,Rosa Linn,alt z,3638360,0.598,0.555,0,-7.407,1,0.0295,0.508,0.0277,0.304,0.353,152.101,203089,4
Keep On,Sasha Alex Sloan,alt z,179836,0.762,0.585,8,-8.819,1,0.102,0.478,0,0.113,0.303,140.005,180240,4
Keep Your Head Up Princess,Anson Seabra,alt z,396440,0.689,0.143,6,-17.374,1,0.264,0.97,0,0.109,0.528,85.398,198220,4
Kids Of The Night,Elley Duhé,alt z,284316,0.684,0.729,1,-3.8,1,0.0407,0.0231,0.000628,0.124,0.49,159.975,185787,4
Kissin' In The Cold,JP Saxe,alt z,2373039,0.528,0.343,0,-7.62,1,0.036,0.777,0,0.162,0.342,64.879,224084,4
LOVE ME HARD,Elley Duhé,alt z,2414255,0.554,0.862,3,-4.672,1,0.0361,0.000924,0.000142,0.422,0.557,139.937,218630,4
LOVE SUX,Marisa Maino,alt z,1426466,0.321,0.705,7,-5.41,1,0.0938,0.169,0,0.0514,0.302,62.014,184923,4
La Di Da,Lennon Stella,alt z,421803,0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,209773,4
Let Me Down Slowly (feat. Alessia Cara),Alec Benjamin,alt z,169174,0.655,0.569,1,-5.018,0,0.0349,0.716,7.4e-06,0.135,0.44,150.267,169175,4
Let's Fall in Love for the Night,FINNEAS,alt z,2119693,0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.918,190348,4
Lie,Sasha Alex Sloan,alt z,454796,0.718,0.483,8,-6.596,1,0.0381,0.387,0.000208,0.124,0.29,103.997,209132,4
Like Strangers Do,AJ Mitchell,alt z,6530737,0.633,0.242,3,-8.523,0,0.0761,0.515,0,0.0839,0.694,98.219,160791,4
